timestamp,open,high,low,close,volume,oi
2023-02-24 09:15:00,17591.35,17599.75,17513.8,17548.95,39923,0.0
2023-02-24 10:15:00,17549.2,17565.7,17501.1,17519.45,20492,0.0
2023-02-24 11:15:00,17519.75,17534.85,17486.35,17490.0,13638,0.0
2023-02-24 12:15:00,17489.7,17489.7,17423.0,17431.55,24010,0.0
2023-02-24 13:15:00,17431.85,17485.45,17426.8,17444.8,21295,0.0
2023-02-24 14:15:00,17444.85,17481.2,17421.8,17474.15,18273,0.0
2023-02-24 15:15:00,17474.4,17476.8,17458.1,17465.8,8168,0.0
2023-02-27 09:15:00,17428.6,17451.6,17303.8,17306.4,59525,0.0
2023-02-27 10:15:00,17306.35,17377.35,17300.9,17376.65,22822,0.0
2023-02-27 11:15:00,17376.45,17397.3,17323.8,17329.05,24155,0.0
2023-02-27 12:15:00,17328.7,17347.9,17299.0,17308.5,11366,0.0
2023-02-27 13:15:00,17306.95,17374.15,17304.0,17354.2,19449,0.0
2023-02-27 14:15:00,17354.05,17405.3,17336.1,17402.5,22191,0.0
2023-02-27 15:15:00,17401.75,17411.05,17388.55,17392.7,13771,0.0
2023-02-28 09:15:00,17383.25,17440.45,17367.4,17380.45,34644,0.0
2023-02-28 10:15:00,17380.95,17415.7,17346.2,17375.05,19536,0.0
2023-02-28 11:15:00,17374.75,17386.35,17343.75,17385.0,12738,0.0
2023-02-28 12:15:00,17384.85,17401.15,17339.8,17348.6,24654,0.0
2023-02-28 13:15:00,17348.25,17360.9,17255.2,17261.2,33543,0.0
2023-02-28 14:15:00,17260.95,17342.1,17260.9,17313.55,42726,0.0
2023-02-28 15:15:00,17313.3,17322.8,17296.05,17303.95,14361,0.0
2023-03-01 09:15:00,17360.1,17421.95,17345.25,17404.15,41975,0.0
2023-03-01 10:15:00,17404.6,17430.65,17389.55,17430.5,16223,0.0
2023-03-01 11:15:00,17430.9,17441.35,17406.7,17407.8,13409,0.0
2023-03-01 12:15:00,17407.55,17429.75,17393.6,17414.75,7776,0.0
2023-03-01 13:15:00,17415.2,17445.7,17401.8,17442.9,14055,0.0
2023-03-01 14:15:00,17442.4,17467.75,17428.25,17447.1,26485,0.0
2023-03-01 15:15:00,17447.15,17459.4,17445.9,17450.9,10223,0.0
2023-03-02 09:15:00,17421.5,17445.8,17343.95,17354.35,50621,0.0
2023-03-02 10:15:00,17354.5,17388.0,17345.7,17376.1,14700,0.0
2023-03-02 11:15:00,17376.05,17401.8,17363.0,17386.8,10717,0.0
2023-03-02 12:15:00,17387.35,17391.8,17350.6,17350.6,21747,0.0
2023-03-02 13:15:00,17350.75,17368.15,17306.0,17334.3,33034,0.0
2023-03-02 14:15:00,17334.45,17345.4,17314.35,17329.4,44786,0.0
2023-03-02 15:15:00,17329.95,17330.65,17311.75,17321.9,10320,0.0
2023-03-03 09:15:00,17451.25,17514.75,17427.7,17512.65,66951,0.0
2023-03-03 10:15:00,17513.9,17556.55,17508.55,17547.85,27307,0.0
2023-03-03 11:15:00,17547.5,17579.0,17534.9,17570.55,14784,0.0
2023-03-03 12:15:00,17570.0,17575.25,17535.9,17561.65,11721,0.0
2023-03-03 13:15:00,17561.05,17613.95,17560.55,17609.75,20581,0.0
2023-03-03 14:15:00,17609.7,17644.75,17587.2,17591.9,66014,0.0
2023-03-03 15:15:00,17592.45,17598.35,17585.0,17594.35,13003,0.0
2023-03-06 09:15:00,17680.35,17779.6,17671.95,17775.15,46620,0.0
2023-03-06 10:15:00,17775.2,17799.95,17758.25,17779.35,20201,0.0
2023-03-06 11:15:00,17779.75,17786.85,17750.05,17779.6,14171,0.0
2023-03-06 12:15:00,17779.7,17785.95,17739.4,17770.5,14650,0.0
2023-03-06 13:15:00,17770.1,17773.8,17717.45,17723.25,15910,0.0
2023-03-06 14:15:00,17722.6,17747.1,17704.0,17709.35,18073,0.0
2023-03-06 15:15:00,17709.3,17726.6,17703.45,17711.45,8289,0.0
2023-03-08 09:15:00,17665.75,17710.7,17602.25,17697.2,58072,0.0
2023-03-08 10:15:00,17697.6,17712.35,17681.55,17682.2,13397,0.0
2023-03-08 11:15:00,17682.8,17694.6,17647.9,17650.75,12646,0.0
2023-03-08 12:15:00,17650.7,17684.75,17645.9,17670.95,10253,0.0
2023-03-08 13:15:00,17671.0,17718.0,17671.0,17708.65,14511,0.0
2023-03-08 14:15:00,17708.3,17764.3,17693.7,17756.6,24247,0.0
2023-03-08 15:15:00,17756.15,17766.5,17747.25,17754.4,12112,0.0
2023-03-09 09:15:00,17772.05,17772.35,17670.55,17675.3,41322,0.0
2023-03-09 10:15:00,17674.55,17704.7,17668.9,17703.55,13544,0.0
2023-03-09 11:15:00,17703.45,17723.4,17674.7,17680.65,14013,0.0
2023-03-09 12:15:00,17680.3,17680.95,17644.4,17658.2,18837,0.0
2023-03-09 13:15:00,17658.5,17670.95,17612.25,17627.65,18034,0.0
2023-03-09 14:15:00,17627.75,17630.6,17586.3,17586.4,25850,0.0
2023-03-09 15:15:00,17587.2,17589.6,17573.6,17589.6,18306,0.0
2023-03-10 09:15:00,17443.8,17451.5,17324.35,17392.65,72929,0.0
2023-03-10 10:15:00,17393.1,17428.2,17381.9,17418.2,24404,0.0
2023-03-10 11:15:00,17419.2,17435.05,17395.3,17395.5,14460,0.0
2023-03-10 12:15:00,17394.95,17429.15,17376.7,17417.85,16134,0.0
