timestamp,open,high,low,close,volume,oi
2023-02-22 14:20:00,17539.4,17558.2,17538.45,17552.4,2240,0.0
2023-02-22 14:25:00,17552.05,17576.4,17550.25,17576.3,2800,0.0
2023-02-22 14:30:00,17575.6,17583.9,17574.15,17578.05,3278,0.0
2023-02-22 14:35:00,17577.95,17584.4,17569.7,17581.7,2053,0.0
2023-02-22 14:40:00,17583.6,17587.5,17573.95,17573.95,1103,0.0
2023-02-22 14:45:00,17575.2,17588.65,17572.65,17587.6,1179,0.0
2023-02-22 14:50:00,17587.7,17593.55,17580.5,17581.75,1595,0.0
2023-02-22 14:55:00,17582.35,17588.2,17576.15,17579.9,1899,0.0
2023-02-22 15:00:00,17582.75,17587.35,17559.0,17560.45,3362,0.0
2023-02-22 15:05:00,17559.8,17560.2,17544.75,17553.6,3479,0.0
2023-02-22 15:10:00,17554.5,17560.25,17550.2,17558.9,1547,0.0
2023-02-22 15:15:00,17558.45,17559.85,17546.65,17548.75,2108,0.0
2023-02-22 15:20:00,17547.9,17552.85,17543.05,17549.5,2198,0.0
2023-02-22 15:25:00,17550.15,17559.3,17545.0,17554.3,3732,0.0
2023-02-23 09:15:00,17574.65,17585.25,17532.15,17550.85,2802,0.0
2023-02-23 09:20:00,17551.85,17554.6,17519.25,17524.35,2597,0.0
2023-02-23 09:25:00,17522.0,17528.35,17501.7,17504.5,2605,0.0
2023-02-23 09:30:00,17503.7,17505.1,17479.55,17482.45,3704,0.0
2023-02-23 09:35:00,17482.6,17504.7,17482.15,17494.65,3237,0.0
2023-02-23 09:40:00,17494.75,17500.2,17470.95,17472.95,3412,0.0
2023-02-23 09:45:00,17471.85,17480.7,17455.4,17479.55,2588,0.0
2023-02-23 09:50:00,17479.5,17537.15,17479.2,17532.65,3680,0.0
2023-02-23 09:55:00,17532.05,17576.9,17532.05,17560.75,6750,0.0
2023-02-23 10:00:00,17560.6,17600.15,17558.95,17600.1,9109,0.0
2023-02-23 10:05:00,17600.55,17609.4,17581.4,17593.15,7123,0.0
2023-02-23 10:10:00,17592.7,17593.4,17568.5,17582.15,1667,0.0
2023-02-23 10:15:00,17581.75,17595.95,17581.6,17594.2,2428,0.0
2023-02-23 10:20:00,17594.9,17596.55,17576.25,17577.95,1895,0.0
2023-02-23 10:25:00,17578.35,17611.35,17577.2,17609.9,2432,0.0
2023-02-23 10:30:00,17610.75,17620.05,17596.85,17597.45,2847,0.0
2023-02-23 10:35:00,17597.35,17597.55,17587.15,17595.9,2234,0.0
2023-02-23 10:40:00,17595.5,17603.35,17586.25,17602.6,2230,0.0
2023-02-23 10:45:00,17602.5,17603.55,17593.85,17598.7,1914,0.0
2023-02-23 10:50:00,17599.3,17602.5,17570.7,17574.9,1978,0.0
2023-02-23 10:55:00,17575.35,17576.05,17555.65,17557.15,2169,0.0
2023-02-23 11:00:00,17556.2,17566.75,17547.1,17554.6,2189,0.0
2023-02-23 11:05:00,17554.75,17573.45,17554.75,17562.45,1584,0.0
2023-02-23 11:10:00,17560.9,17583.1,17556.2,17580.55,1122,0.0
2023-02-23 11:15:00,17580.35,17585.9,17576.9,17579.65,1479,0.0
2023-02-23 11:20:00,17580.8,17587.3,17574.6,17579.85,1006,0.0
2023-02-23 11:25:00,17579.45,17595.35,17563.45,17591.0,2499,0.0
2023-02-23 11:30:00,17593.45,17593.45,17570.95,17587.3,776,0.0
2023-02-23 11:35:00,17587.35,17589.9,17570.75,17582.35,1586,0.0
2023-02-23 11:40:00,17581.1,17586.8,17576.55,17583.65,2896,0.0
2023-02-23 11:45:00,17583.4,17585.35,17578.15,17580.3,2515,0.0
2023-02-23 11:50:00,17579.55,17584.15,17575.0,17580.15,3548,0.0
2023-02-23 11:55:00,17579.25,17580.5,17574.4,17578.6,2483,0.0
2023-02-23 12:00:00,17577.95,17584.0,17576.1,17578.7,3043,0.0
2023-02-23 12:05:00,17578.9,17579.1,17554.25,17554.75,1244,0.0
2023-02-23 12:10:00,17555.05,17560.6,17544.55,17552.25,2896,0.0
2023-02-23 12:15:00,17551.3,17558.95,17547.35,17555.0,1004,0.0
2023-02-23 12:20:00,17553.95,17556.2,17546.5,17551.4,833,0.0
2023-02-23 12:25:00,17551.0,17556.5,17547.05,17551.85,822,0.0
2023-02-23 12:30:00,17551.4,17555.3,17533.45,17540.9,1496,0.0
2023-02-23 12:35:00,17540.75,17545.1,17530.9,17535.3,3801,0.0
2023-02-23 12:40:00,17535.05,17536.1,17527.2,17528.4,1603,0.0
2023-02-23 12:45:00,17527.7,17538.55,17526.3,17532.8,2528,0.0
2023-02-23 12:50:00,17532.2,17563.75,17530.0,17560.95,2138,0.0
2023-02-23 12:55:00,17561.5,17561.65,17543.05,17547.5,1838,0.0
2023-02-23 13:00:00,17547.3,17554.55,17544.8,17549.5,1990,0.0
2023-02-23 13:05:00,17549.8,17575.8,17548.6,17574.8,2943,0.0
2023-02-23 13:10:00,17574.4,17585.8,17571.05,17576.05,2005,0.0
2023-02-23 13:15:00,17576.2,17579.7,17567.65,17576.2,1732,0.0
2023-02-23 13:20:00,17575.95,17577.1,17568.4,17569.65,809,0.0
2023-02-23 13:25:00,17569.9,17571.3,17554.75,17555.75,1249,0.0
2023-02-23 13:30:00,17555.3,17560.25,17553.85,17558.05,1207,0.0
2023-02-23 13:35:00,17558.4,17562.35,17543.75,17546.3,1353,0.0
2023-02-23 13:40:00,17546.75,17568.7,17542.3,17567.7,2201,0.0
2023-02-23 13:45:00,17568.3,17578.35,17564.35,17575.35,1308,0.0
2023-02-23 13:50:00,17576.2,17592.0,17576.15,17582.55,2421,0.0
2023-02-23 13:55:00,17583.15,17585.7,17568.45,17573.85,1175,0.0
2023-02-23 14:00:00,17574.0,17584.75,17570.75,17571.25,1514,0.0
2023-02-23 14:05:00,17570.8,17580.0,17564.05,17567.45,1635,0.0
2023-02-23 14:10:00,17567.25,17573.7,17560.15,17569.1,824,0.0
2023-02-23 14:15:00,17569.75,17581.2,17561.15,17562.5,1355,0.0
2023-02-23 14:20:00,17563.2,17573.2,17559.45,17571.1,1043,0.0
2023-02-23 14:25:00,17570.5,17571.6,17547.7,17556.9,1378,0.0
2023-02-23 14:30:00,17555.85,17565.85,17545.55,17551.9,1200,0.0
2023-02-23 14:35:00,17551.85,17555.35,17538.6,17541.0,1157,0.0
2023-02-23 14:40:00,17540.75,17551.95,17537.9,17544.45,1064,0.0
2023-02-23 14:45:00,17543.3,17555.75,17543.3,17548.25,1306,0.0
2023-02-23 14:50:00,17549.25,17553.65,17540.55,17542.95,1226,0.0
2023-02-23 14:55:00,17543.3,17558.8,17542.2,17556.65,2374,0.0
2023-02-23 15:00:00,17557.05,17560.55,17491.8,17491.8,5238,0.0
2023-02-23 15:05:00,17491.95,17517.15,17490.4,17516.95,3271,0.0
2023-02-23 15:10:00,17517.05,17519.8,17496.25,17503.3,2093,0.0
2023-02-23 15:15:00,17503.35,17513.6,17499.05,17513.6,1977,0.0
2023-02-23 15:20:00,17513.65,17521.55,17509.2,17516.35,1961,0.0
2023-02-23 15:25:00,17515.75,17524.15,17511.25,17511.25,1908,0.0
2023-02-24 09:15:00,17591.35,17593.6,17555.8,17586.5,8834,0.0
2023-02-24 09:20:00,17587.5,17599.75,17563.15,17585.75,6315,0.0
2023-02-24 09:25:00,17585.7,17596.9,17563.5,17563.9,3658,0.0
2023-02-24 09:30:00,17564.0,17570.4,17551.15,17565.65,3256,0.0
2023-02-24 09:35:00,17565.0,17565.1,17545.05,17556.4,2027,0.0
2023-02-24 09:40:00,17555.5,17556.95,17546.45,17552.45,2014,0.0
2023-02-24 09:45:00,17552.25,17552.25,17525.0,17525.55,4361,0.0
2023-02-24 09:50:00,17526.35,17544.8,17513.8,17541.25,3248,0.0
2023-02-24 09:55:00,17541.15,17557.7,17538.55,17546.0,1994,0.0
2023-02-24 10:00:00,17546.85,17565.8,17538.25,17555.6,1702,0.0
2023-02-24 10:05:00,17555.85,17563.6,17538.0,17545.35,1432,0.0
2023-02-24 10:10:00,17545.9,17549.95,17539.1,17548.95,1082,0.0
2023-02-24 10:15:00,17549.2,17560.3,17548.4,17556.25,1297,0.0
2023-02-24 10:20:00,17556.85,17565.7,17556.4,17561.3,1140,0.0
