timestamp,open,high,low,close,volume,oi,is_swing_high,is_swing_low,active_bsl,active_ssl,dist_to_bsl,dist_to_ssl,body_size,upper_wick,lower_wick,true_bos_bullish,true_bos_bearish,sweep_trap_bsl,sweep_trap_ssl,oi_pct_change,vol_oi_ratio,oi_zscore,date,vwap,dist_to_vwap_pct,vwap_trend,atr,trigger_long,trigger_short,long_sl,long_tp,short_sl,short_tp
2023-02-28 09:15:00,17383.25,17440.45,17367.4,17380.45,34644,0.0,False,False,,17299.0,,81.45000000000073,2.7999999999992724,57.20000000000073,13.049999999999272,0,0,0,0,0.0,0.0,0.0,2023-02-28,17396.100000000002,-0.08996269278747221,-1,64.75311806693925,0,0,,,,
2023-02-28 10:15:00,17380.95,17415.7,17346.2,17375.05,19536,0.0,False,False,,17299.0,,76.04999999999927,5.900000000001455,34.75,28.849999999998545,0,0,0,0,0.0,0.0,0.0,2023-02-28,17389.928143226283,-0.08555609375579472,-1,65.25844735828272,0,0,,,,
2023-02-28 11:15:00,17374.75,17386.35,17343.75,17385.0,12738,0.0,True,False,17440.45,17299.0,55.45000000000073,86.0,10.25,1.3499999999985448,31.0,0,0,0,0,0.0,0.0,0.0,2023-02-28,17386.45837293404,-0.00838798162776725,-1,62.927970724484325,0,0,,,,
2023-02-28 12:15:00,17384.85,17401.15,17339.8,17348.6,24654,0.0,False,False,17440.45,17299.0,91.85000000000218,49.599999999998545,36.25,16.30000000000291,8.799999999999272,0,0,0,0,0.0,0.0,0.0,2023-02-28,17380.192016118464,-0.1817702364229766,-1,62.770617238213234,0,0,,,,
2023-02-28 13:15:00,17348.25,17360.9,17255.2,17261.2,33543,0.0,False,False,17440.45,17299.0,179.25,-37.79999999999927,87.04999999999927,12.650000000001455,6.0,0,1,0,0,0.0,0.0,0.0,2023-02-28,17356.66414578588,-0.5500143632672422,-1,66.93371228115043,0,0,,,,
2023-02-28 14:15:00,17260.95,17342.1,17260.9,17313.55,42726,0.0,False,False,17440.45,17299.0,126.90000000000146,14.549999999999272,52.599999999998545,28.549999999999272,0.049999999999272404,0,0,0,0,0.0,0.0,0.0,2023-02-28,17343.643923117714,-0.17351557291603298,-1,68.28272844866305,0,0,,,,
2023-02-28 15:15:00,17313.3,17322.8,17296.05,17303.95,14361,0.0,False,True,17440.45,17255.2,136.5,48.75,9.349999999998545,9.5,7.900000000001455,0,0,0,0,0.0,0.0,0.0,2023-02-28,17340.80297307384,-0.21252172192409383,-1,64.44419497598382,0,0,,,,
2023-03-01 09:15:00,17360.1,17421.95,17345.25,17404.15,41975,0.0,False,False,17440.45,17255.2,36.29999999999927,148.95000000000073,44.05000000000291,17.799999999999272,14.849999999998545,0,0,0,0,0.0,0.0,0.0,2023-03-01,17390.45,0.07877887001199352,1,69.29214929662682,0,0,,,,
2023-03-01 10:15:00,17404.6,17430.65,17389.55,17430.5,16223,0.0,False,False,17440.45,17255.2,9.950000000000728,175.29999999999927,25.900000000001455,0.1500000000014552,15.049999999999272,0,0,0,0,0.0,0.0,0.0,2023-03-01,17397.823077253513,0.18782190508196056,1,66.78796466549112,0,0,,,,
2023-03-01 11:15:00,17430.9,17441.35,17406.7,17407.8,13409,0.0,False,False,17440.45,17255.2,32.650000000001455,152.59999999999854,23.100000000002183,10.44999999999709,1.0999999999985448,0,0,0,0,0.0,0.0,0.0,2023-03-01,17401.71684798041,0.034957194584485804,1,63.98210424836395,0,0,,,,
2023-03-01 12:15:00,17407.55,17429.75,17393.6,17414.75,7776,0.0,False,False,17440.45,17255.2,25.700000000000728,159.54999999999927,7.200000000000728,15.0,13.950000000000728,0,0,0,0,0.0,0.0,0.0,2023-03-01,17402.79270792655,0.06870904155517338,1,61.59015414817459,0,0,,,,
2023-03-01 13:15:00,17415.2,17445.7,17401.8,17442.9,14055,0.0,False,False,17440.45,17255.2,-2.4500000000007276,187.70000000000073,27.700000000000728,2.7999999999992724,13.400000000001455,1,0,0,0,0.0,0.0,0.0,2023-03-01,17406.90530119794,0.20678402150888364,1,60.09157447327927,0,0,,,,
2023-03-01 14:15:00,17442.4,17467.75,17428.25,17447.1,26485,0.0,False,False,17440.45,17255.2,-6.649999999997817,191.89999999999782,4.69999999999709,20.650000000001455,14.150000000001455,0,0,0,0,0.0,0.0,0.0,2023-03-01,17415.914812282324,0.17906143922845338,1,58.37007632138959,0,0,,,,
2023-03-01 15:15:00,17447.15,17459.4,17445.9,17450.9,10223,0.0,False,False,17440.45,17255.2,-10.450000000000728,195.70000000000073,3.75,8.5,1.25,0,0,0,0,0.0,0.0,0.0,2023-03-01,17418.754549249818,0.18454505836967763,1,54.663961638836376,0,0,,,,
2023-03-02 09:15:00,17421.5,17445.8,17343.95,17354.35,50621,0.0,True,False,17467.75,17255.2,113.40000000000146,99.14999999999782,67.15000000000146,24.299999999999272,10.399999999997817,0,0,0,0,0.0,0.0,0.0,2023-03-02,17381.366666666665,-0.15543465128365297,-1,58.934911408023915,0,0,,,,
2023-03-02 10:15:00,17354.5,17388.0,17345.7,17376.1,14700,0.0,False,False,17467.75,17255.2,91.65000000000146,120.89999999999782,21.599999999998545,11.900000000001455,8.799999999999272,0,0,0,0,0.0,0.0,0.0,2023-03-02,17378.793680949973,-0.015499815461458203,-1,57.589894059225514,0,0,,,,
2023-03-02 11:15:00,17376.05,17401.8,17363.0,17386.8,10717,0.0,False,True,17467.75,17343.95,80.95000000000073,42.849999999998545,10.75,15.0,13.049999999999272,0,0,0,0,0.0,0.0,0.0,2023-03-02,17379.50868118572,0.04195353820428037,1,56.084822971270825,0,0,,,,
2023-03-02 12:15:00,17387.35,17391.8,17350.6,17350.6,21747,0.0,False,False,17467.75,17343.95,117.15000000000146,6.649999999997817,36.75,4.450000000000728,0.0,0,0,0,0,0.0,0.0,0.0,2023-03-02,17376.133743416678,-0.14694720812881348,-1,54.90279807725064,0,0,,,,
2023-03-02 13:15:00,17350.75,17368.15,17306.0,17334.3,33034,0.0,False,False,17467.75,17343.95,133.45000000000073,-9.650000000001455,16.450000000000728,17.400000000001455,28.299999999999272,0,0,0,0,0.0,0.0,0.0,2023-03-02,17366.03717502809,-0.18275427323009588,-1,55.473750828102794,0,0,,,,
2023-03-02 14:15:00,17334.45,17345.4,17314.35,17329.4,44786,0.0,False,False,17467.75,17343.95,138.34999999999854,-14.549999999999272,5.049999999999272,10.950000000000728,15.05000000000291,0,0,0,0,0.0,0.0,0.0,2023-03-02,17356.774054459343,-0.1577139529122867,-1,53.56363334295368,0,0,,,,
2023-03-02 15:15:00,17329.95,17330.65,17311.75,17321.9,10320,0.0,False,True,17467.75,17306.0,145.84999999999854,15.900000000001455,8.049999999999272,0.7000000000007276,10.150000000001455,0,0,0,0,0.0,0.0,0.0,2023-03-02,17354.812423468244,-0.1896443629879629,-1,50.87093478662367,0,0,,,,
