timestamp,open,high,low,close,volume,oi,is_swing_high,is_swing_low,active_bsl,active_ssl,dist_to_bsl,dist_to_ssl,body_size,upper_wick,lower_wick,true_bos_bullish,true_bos_bearish,sweep_trap_bsl,sweep_trap_ssl,oi_pct_change,vol_oi_ratio,oi_zscore,date,vwap,dist_to_vwap_pct,vwap_trend,atr,trigger_long,trigger_short,long_sl,long_tp,short_sl,short_tp
2023-03-17,17111.8,17145.8,16958.15,17100.05,240639,0.0,False,False,17799.95,17255.2,699.9000000000015,-155.15000000000146,11.75,34.0,141.89999999999782,0,0,0,0,0.0,0.0,0.0,2023-03-17,17068.0,0.18777829857041992,1,231.04565428717964,0,0,,,,
2023-03-20,17066.6,17066.6,16828.35,16988.4,233205,0.0,False,False,17799.95,17255.2,811.5499999999993,-266.7999999999993,78.19999999999709,0.0,160.0500000000029,0,0,0,0,0.0,0.0,0.0,2023-03-20,16961.116666666665,0.16085811960102758,1,235.3735124472931,0,0,,,,
2023-03-21,17060.4,17127.7,17016.0,17107.5,138012,0.0,False,False,17799.95,17255.2,692.4500000000007,-147.70000000000073,47.099999999998545,20.200000000000728,44.400000000001455,0,1,0,0,0.0,0.0,0.0,2023-03-21,17083.733333333334,0.13911869380619238,1,225.4921171184336,0,0,,,,
2023-03-22,17177.45,17207.25,17107.85,17151.9,108795,0.0,False,True,17799.95,16828.35,648.0499999999993,323.5500000000029,25.549999999999272,29.799999999999272,44.05000000000291,0,0,0,0,0.0,0.0,0.0,2023-03-22,17155.666666666668,-0.0219558163483383,-1,212.9532529983866,0,0,,,,
2023-03-23,17097.4,17205.4,17045.3,17076.9,175746,0.0,False,False,17799.95,16828.35,723.0499999999993,248.5500000000029,20.5,108.0,31.600000000002183,0,0,0,0,0.0,0.0,0.0,2023-03-23,17109.2,-0.18878731910316832,-1,207.82778644365808,0,0,,,,
2023-03-24,17076.2,17109.45,16917.35,16945.05,164150,0.0,True,False,17207.25,16828.35,262.2000000000007,116.70000000000073,131.15000000000146,33.25,27.700000000000728,0,0,0,0,0.0,0.0,0.0,2023-03-24,16990.61666666667,-0.26818724452812287,-1,206.34057136642053,0,0,,,,
2023-03-27,16984.3,17091.0,16918.55,16985.7,216833,0.0,False,False,17207.25,16828.35,221.54999999999927,157.35000000000218,1.4000000000014552,105.29999999999927,65.75,0,0,0,0,0.0,0.0,0.0,2023-03-27,16998.416666666668,-0.07481088924949178,-1,203.20834053407765,0,0,,,,
2023-03-28,17031.75,17061.75,16913.75,16951.7,169368,0.0,False,False,17207.25,16828.35,255.54999999999927,123.35000000000218,80.04999999999927,30.0,37.95000000000073,0,0,0,0,0.0,0.0,0.0,2023-03-28,16975.733333333334,-0.14157463987809765,-1,198.21079614262115,0,0,,,,
2023-03-29,16977.3,17126.15,16940.6,17080.7,245279,0.0,False,False,17207.25,16828.35,126.54999999999927,252.35000000000218,103.40000000000146,45.45000000000073,36.70000000000073,0,0,0,0,0.0,0.0,0.0,2023-03-29,17049.149999999998,0.18505321379659934,1,197.08619330426703,0,0,,,,
2023-03-31,17210.35,17381.6,17204.65,17359.75,172665,0.0,False,True,17207.25,16913.75,-152.5,446.0,149.40000000000146,21.849999999998545,5.69999999999709,1,0,0,0,0.0,0.0,0.0,2023-03-31,17315.333333333332,0.2565163823971117,1,206.1498366927234,0,0,,,,
2023-04-03,17427.95,17428.05,17312.75,17398.05,124446,0.0,False,False,17207.25,16913.75,-190.79999999999927,484.2999999999993,29.900000000001455,0.09999999999854481,85.29999999999927,1,0,0,0,0.0,0.0,0.0,2023-04-03,17379.61666666667,0.10606294538523958,1,198.3420089395583,0,0,,,,
2023-04-05,17422.3,17570.55,17402.7,17557.05,157214,0.0,False,False,17207.25,16913.75,-349.7999999999993,643.2999999999993,134.75,13.5,19.599999999998545,1,0,0,0,0.0,0.0,0.0,2023-04-05,17510.100000000002,0.26813096441480677,1,196.15286411747746,0,0,,,,
2023-04-06,17533.85,17638.7,17502.85,17599.15,157302,0.0,False,False,17207.25,16913.75,-391.90000000000146,685.4000000000015,65.30000000000291,39.54999999999927,31.0,1,0,0,0,0.0,0.0,0.0,2023-04-06,17580.233333333334,0.10760190896215568,1,191.1114201391843,0,0,,,,
2023-04-10,17634.9,17694.1,17597.95,17624.05,106605,0.0,False,False,17207.25,16913.75,-416.7999999999993,710.2999999999993,10.850000000002183,59.19999999999709,26.099999999998545,0,0,0,0,0.0,0.0,0.0,2023-04-10,17638.7,-0.08305600752890777,-1,183.26793195491808,0,0,,,,
2023-04-11,17704.8,17748.75,17655.15,17722.3,126840,0.0,False,False,17207.25,16913.75,-515.0499999999993,808.5499999999993,17.5,26.450000000000728,49.64999999999782,0,0,0,0,0.0,0.0,0.0,2023-04-11,17708.733333333334,0.07661003422039801,1,178.4838499455525,0,0,,,,
2023-04-12,17759.55,17825.75,17717.25,17812.4,115008,0.0,False,False,17207.25,16913.75,-605.1500000000015,898.6500000000015,52.85000000000218,13.349999999998545,42.29999999999927,1,0,0,0,0.0,0.0,0.0,2023-04-12,17785.133333333335,0.1533115673390121,1,172.82529908203156,0,0,,,,
2023-04-13,17807.3,17842.15,17729.65,17828.0,136147,0.0,False,False,17207.25,16913.75,-620.75,914.25,20.700000000000728,14.150000000001455,77.64999999999782,1,0,0,0,0.0,0.0,0.0,2023-04-13,17799.933333333334,0.1576784931778716,1,167.9932407833312,0,0,,,,
2023-04-17,17863.0,17863.0,17574.05,17706.85,170467,0.0,False,False,17207.25,16913.75,-499.59999999999854,793.0999999999985,156.15000000000146,0.0,132.79999999999927,1,0,0,0,0.0,0.0,0.0,2023-04-17,17714.633333333335,-0.04393730983237861,-1,177.5985885103462,0,0,,,,
2023-04-18,17766.6,17766.6,17610.2,17660.15,124181,0.0,False,False,17207.25,16913.75,-452.90000000000146,746.4000000000015,106.44999999999709,0.0,49.95000000000073,1,0,0,0,0.0,0.0,0.0,2023-04-18,17678.983333333334,-0.10652950443039495,-1,175.9285105198088,0,0,,,,
2023-04-19,17653.35,17666.15,17579.85,17618.75,101518,0.0,True,True,17863.0,17574.05,244.25,44.70000000000073,34.599999999998545,12.80000000000291,38.900000000001455,0,0,0,0,0.0,0.0,0.0,2023-04-19,17621.583333333332,-0.01607876704230392,-1,168.91889982091553,0,0,,,,
2023-04-20,17638.6,17684.45,17584.35,17624.45,103609,0.0,False,False,17863.0,17574.05,238.54999999999927,50.400000000001455,14.149999999997817,45.85000000000218,40.10000000000218,0,0,0,0,0.0,0.0,0.0,2023-04-20,17631.083333333332,-0.03762294810773432,-1,163.57299304990272,0,0,,,,
2023-04-21,17639.75,17663.2,17553.95,17624.05,122138,0.0,False,False,17863.0,17574.05,238.95000000000073,50.0,15.700000000000728,23.450000000000728,70.09999999999854,0,0,0,1,0.0,0.0,0.0,2023-04-21,17613.733333333334,0.05857172055138242,1,159.37935935533267,0,0,,,,
2023-04-24,17707.55,17754.5,17612.5,17743.4,190654,0.0,False,False,17863.0,17574.05,119.59999999999854,169.35000000000218,35.85000000000218,11.099999999998545,95.04999999999927,0,0,0,0,0.0,0.0,0.0,2023-04-24,17703.466666666667,0.22556787371212214,1,158.04540159638657,0,0,,,,
2023-04-25,17761.55,17807.45,17716.85,17769.25,120783,0.0,False,True,17863.0,17553.95,93.75,215.29999999999927,7.700000000000728,38.20000000000073,44.70000000000073,0,0,0,0,0.0,0.0,0.0,2023-04-25,17764.516666666666,0.026644875411753817,1,152.89603947061786,0,0,,,,
2023-04-26,17767.3,17827.75,17711.2,17813.6,130470,0.0,False,False,17863.0,17553.95,49.400000000001455,259.6499999999978,46.29999999999927,14.150000000001455,56.099999999998545,0,0,0,0,0.0,0.0,0.0,2023-04-26,17784.18333333333,0.16540915101528167,1,150.13465625735512,0,0,,,,
2023-04-27,17813.1,17931.6,17797.9,17915.05,141222,0.0,False,False,17863.0,17553.95,-52.04999999999927,361.09999999999854,101.95000000000073,16.549999999999272,15.19999999999709,1,0,0,0,0.0,0.0,0.0,2023-04-27,17881.516666666666,0.1875306997635334,1,148.8916873002408,0,0,,,,
2023-04-28,17950.4,18089.15,17885.3,18065.0,126377,0.0,False,False,17863.0,17553.95,-202.0,511.0499999999993,114.59999999999854,24.150000000001455,65.10000000000218,1,0,0,0,0.0,0.0,0.0,2023-04-28,18013.149999999998,0.28784526859545495,1,153.03084330085065,0,0,,,,
2023-05-02,18124.8,18180.25,18101.75,18147.65,114503,0.0,False,False,17863.0,17553.95,-284.65000000000146,593.7000000000007,22.850000000002183,32.599999999998545,23.049999999999272,0,0,0,0,0.0,0.0,0.0,2023-05-02,18143.216666666667,0.02443521132324553,1,150.19641354043506,0,0,,,,
2023-05-03,18113.8,18116.35,18042.4,18089.85,135761,0.0,False,False,17863.0,17553.95,-226.84999999999854,535.8999999999978,23.950000000000728,2.5499999999992724,47.44999999999709,1,0,0,0,0.0,0.0,0.0,2023-05-03,18082.866666666665,0.038618508127400024,1,146.83647849689228,0,0,,,,
